role,country,n,experience_level,median_salary,salary_low,salary_high
Data Analyst,Costa Rica,,TEN_PLUS,,71,106
Data Engineer,Spain,,TEN_PLUS,,70,104
Designer,Canada,,TEN_PLUS,,101,121
Data Engineer,Colombia,,TEN_PLUS,,92,138
Backend,Spain,,TEN_PLUS,,63,95
Designer,Spain,,TEN_PLUS,,54,81
Backend,Canada,,TEN_PLUS,,118,142
Backend,Costa Rica,,TEN_PLUS,,84,125
Data Analyst,Mexico,,TEN_PLUS,,71,106
Data Engineer,Costa Rica,,TEN_PLUS,,92,138
DevOps,Canada,,TEN_PLUS,,131,157
Designer,Costa Rica,,TEN_PLUS,,71,106
Data Analyst,Poland,,TEN_PLUS,,83,125
Automation QA,Spain,,TEN_PLUS,,63,95
Data Engineer,Mexico,,TEN_PLUS,,92,138
AI/ML,Colombia,,TEN_PLUS,,92,138
DevOps,Costa Rica,,TEN_PLUS,,92,138
DevOps,Spain,,TEN_PLUS,,70,104
Backend,Poland,,TEN_PLUS,,98,147
Backend,Romania,,TEN_PLUS,,60,90
Frontend,Canada,,TEN_PLUS,,118,142
Backend,Mexico,,TEN_PLUS,,84,125
Mobile,Poland,,TEN_PLUS,,98,147
Full Stack,Poland,,TEN_PLUS,,98,147
Frontend,Romania,,TEN_PLUS,,60,90
Frontend,Poland,,TEN_PLUS,,98,147
Automation QA,Canada,,TEN_PLUS,,118,142
Full Stack,Romania,,TEN_PLUS,,60,90
Full Stack,Mexico,,TEN_PLUS,,84,125
Backend,Colombia,,TEN_PLUS,,84,125
Backend,Chile,,TEN_PLUS,,84,125
AI/ML,Mexico,,TEN_PLUS,,92,138
Frontend,Mexico,,TEN_PLUS,,84,125
Full Stack,Colombia,,TEN_PLUS,,84,125
Mobile,Mexico,,TEN_PLUS,,84,125
Automation QA,Costa Rica,,TEN_PLUS,,84,125
Mobile,Romania,,TEN_PLUS,,60,90
Frontend,Spain,,TEN_PLUS,,63,95
Frontend,Colombia,,TEN_PLUS,,84,125
Full Stack,Chile,,TEN_PLUS,,84,125
Frontend,Costa Rica,,TEN_PLUS,,84,125
Automation QA,Colombia,,TEN_PLUS,,84,125
Automation QA,Mexico,,TEN_PLUS,,70,106
DevOps,Poland,,TEN_PLUS,,108,162
Data Engineer,Poland,,TEN_PLUS,,108,162
Automation QA,Poland,,TEN_PLUS,,98,147
Mobile,Colombia,,TEN_PLUS,,84,125
Mobile,Chile,,TEN_PLUS,,84,125
Frontend,Chile,,TEN_PLUS,,84,125
Data Engineer,Romania,,TEN_PLUS,,66,99
Full Stack,Canada,,TEN_PLUS,,118,142
Designer,Poland,,TEN_PLUS,,83,125
Designer,Mexico,,TEN_PLUS,,71,106
DevOps,Romania,,TEN_PLUS,,66,99
Full Stack,Spain,,TEN_PLUS,,63,95
