employee_id,start_date,job_title,predicted_role,confidence
5088,2020-11-01T00:00:00,Frontend Engineer,,
5088,2021-04-01T00:00:00,Frontend Engineer,,
5088,2021-08-01T00:00:00,Senior Software Engineer l,,
5089,2018-10-22T00:00:00,Senior Software Engineer,,
5089,2020-01-01T00:00:00,Senior Software Engineer,,
5090,2018-10-29T00:00:00,Engineering Manager,,
5090,2020-01-01T00:00:00,Senior Engineering Manager,,
5090,2020-06-16T00:00:00,Senior Engineering Manager,,
5090,2021-01-01T00:00:00,Senior Engineering Manager,,
5090,2022-01-01T00:00:00,Senior Engineering Manager,,
5090,2022-12-16T00:00:00,Senior Engineering Manager,,
5091,2018-11-19T00:00:00,Full Stack Engineer,,
5091,2019-12-16T00:00:00,Full Stack Engineer,,
5091,2020-10-19T00:00:00,Full Stack Engineer,,
5091,2021-08-01T00:00:00,Senior Software Engineer l,,
5092,2018-11-05T00:00:00,Full Stack Developer,,
5092,2020-04-16T00:00:00,Data Engineering Lead,,
5092,2020-11-01T00:00:00,Data Engineering Lead,,
5092,2021-04-01T00:00:00,Data Engineering Lead,,
5092,2021-08-01T00:00:00,Staff Software Engineer,,
5095,2018-11-26T00:00:00,Software Engineer,,
5096,2018-12-10T00:00:00,Product Manager,,
5098,2019-01-07T00:00:00,Software Engineer,,
5098,2020-01-07T00:00:00,Software Engineer,,
5099,2019-01-07T00:00:00,Mobile Developer,,
5104,2019-02-04T00:00:00,,,
5105,2019-02-04T00:00:00,,,
5106,2019-02-11T00:00:00,Full Stack Engineer,,
5106,2020-11-01T00:00:00,Full Stack Engineer,,
5106,2022-03-01T00:00:00,Senior Software Engineer II,,
5106,2023-10-30T00:00:00,Senior Software Engineer II,,
5106,2024-03-01T00:00:00,Engineering Manager,,
5110,2019-03-11T00:00:00,Frontend Engineering Lead,,
5110,2021-08-03T00:00:00,Senior Software Engineer II,,
5110,2022-09-16T00:00:00,Engineering Manager II,,
5110,2023-04-01T00:00:00,Director of Engineering,,
5111,2019-03-04T00:00:00,Software Engineer,,
5112,2019-03-01T00:00:00,Software Engineer Level 2,,
5112,2020-08-01T00:00:00,Software Engineer Level 2,,
5116,2019-02-25T00:00:00,"Data Scientist, Platform Products and Architecture",,
5116,2020-03-09T00:00:00,Senior Software Engineer,,
5116,2021-06-01T00:00:00,Senior Software Engineer,,
5117,2019-03-11T00:00:00,Senior DevOps Engineer,Backend,0.44278045774138564
5117,2019-03-11T00:00:00,Senior DevOps Engineer,Backend,0.44278045774138564
5117,2020-04-01T00:00:00,Senior DevOps Engineer,Backend,0.44278045774138564
5117,2020-04-01T00:00:00,Senior DevOps Engineer,Backend,0.44278045774138564
5117,2020-07-01T00:00:00,Senior DevOps Engineer,Backend,0.44278045774138564
5117,2020-07-01T00:00:00,Senior DevOps Engineer,Backend,0.44278045774138564
5118,2019-03-01T00:00:00,Software Engineer,,
5118,2020-01-01T00:00:00,Software Engineer,,
5118,2021-01-01T00:00:00,Software Engineer,,
5119,2019-03-11T00:00:00,Senior Software Engineer,,
5120,2019-03-25T00:00:00,,,
5121,2019-03-25T00:00:00,Backend Engineer,,
5121,2020-12-07T00:00:00,Backend Engineer,,
5121,2022-03-01T00:00:00,Backend Engineer,,
5122,2019-03-25T00:00:00,Senior Engineering Manager,,
5122,2020-01-01T00:00:00,Senior Engineering Manager,,
5122,2021-01-01T00:00:00,Senior Software Engineer,,
5122,2021-03-30T00:00:00,Director of Client Engineering,,
5123,2019-04-01T00:00:00,,,
5123,2020-10-16T00:00:00,Design Lead,,
5123,2021-03-08T00:00:00,Design Lead,,
5123,2021-03-29T00:00:00,Design Lead,,
5123,2021-10-12T00:00:00,Design Lead,,
5124,2019-04-01T00:00:00,"Senior Software Engineer, Data",,
5126,2019-04-08T00:00:00,Sr SWE II,,
5126,2020-06-16T00:00:00,Sr SWE II,,
5126,2020-07-01T00:00:00,Staff Software Engineer,,
5126,2021-01-01T00:00:00,Engineering Manager,,
5126,2022-01-01T00:00:00,Engineering Manager,,
5128,2019-04-15T00:00:00,Engineering Manager,,
5128,2020-05-01T00:00:00,Engineering Manager,,
5128,2020-06-16T00:00:00,Engineering Manager,,
5128,2020-07-01T00:00:00,Engineering Manager,,
5128,2020-12-01T00:00:00,Engineering Manager,,
5128,2023-08-01T00:00:00,Engineering Manager,,
5128,2024-02-01T00:00:00,Engineering Manager,,
5129,2019-04-22T00:00:00,"Software Engineer, Product",,
5129,2021-01-01T00:00:00,"Software Engineer, Product",,
5130,2019-04-15T00:00:00,Full Stack Developer,,
5130,2020-04-16T00:00:00,Full Stack Developer,,
5130,2021-08-01T00:00:00,Senior Software Engineer l,,
5130,2022-03-01T00:00:00,Senior Software Engineer l,,
5130,2022-07-01T00:00:00,Senior Software Engineer l,,
5131,2019-04-15T00:00:00,Full Stack Developer,,
5131,2020-04-16T00:00:00,Full Stack Lead,,
5131,2020-11-01T00:00:00,Full Stack Lead,,
5131,2021-08-01T00:00:00,Senior Software Engineer II,,
5131,2021-11-12T00:00:00,Engineering Manager,,
5131,2022-03-01T00:00:00,Senior Engineering Manager,,
5131,2022-12-16T00:00:00,Senior Engineering Manager,,
5131,2023-09-11T00:00:00,Senior Engineering Manager,,
5132,2019-04-22T00:00:00,Solutions Architect,,
5134,2019-05-06T00:00:00,Principal Software Quality Engineer,,
5134,2020-11-01T00:00:00,Principal Software Quality Engineer,,
5134,2021-08-01T00:00:00,Senior Software Engineer II,,
5134,2021-12-06T00:00:00,Site Reliability Engineer,,
5134,2022-09-16T00:00:00,Site Reliability Engineer,,
5135,2019-05-06T00:00:00,Backend Engineer,Backend,0.44278045774138564
5135,2019-05-06T00:00:00,Backend Engineer,Backend,0.44278045774138564
5136,2019-05-06T00:00:00,Principal Software Developer,,
5136,2020-01-01T00:00:00,Principal Software Developer,,
